Id,SalePrice
1461,109785.0577433498
1462,166019.76643482188
1463,195489.63087363678
1464,214369.71583251093
1465,192309.4377073387
1466,186289.0054260596
1467,177705.6873226739
1468,185674.73815833076
1469,183644.95577791877
1470,123735.66367469246
1471,181139.10299381753
1472,68830.12897999753
1473,68942.96787201319
1474,115620.63346197185
1475,86833.58949128522
1476,340677.5889195218
1477,280357.1582844472
1478,300974.05672657606
1479,289787.2989878536
1480,401512.3110813976
1481,292000.91047410783
1482,228542.70784441126
1483,216601.25760711898
1484,193716.6228827767
1485,213332.4789767913
1486,222192.31030424804
1487,305198.81326852133
1488,231422.56278294517
1489,223116.7953166755
1490,228141.55161431793
1491,216749.34724181914
1492,89334.8039459564
1493,210276.67920578504
1494,264774.21510109596
1495,251143.12163436686
1496,211023.11780907222
1497,170198.23091332056
1498,164162.6327049909
1499,145795.15987915447
1500,161403.54015697434
1501,174835.3172090125
1502,172579.15275795644
1503,262760.17790417996
1504,227977.45518610184
1505,217068.87152429242
1506,196713.25290197923
1507,218155.77217066908
1508,187333.209708906
1509,140516.4485069244
1510,163646.04950922556
1511,160235.18248150515
1512,175204.0819988138
1513,147235.7581033523
1514,168072.6451734802
1515,168811.46185140204
1516,146282.24917671815
1517,152693.95874520848
1518,141114.4034887373
1519,227119.21534101412
1520,134876.1901682659
1521,142781.2490687399
1522,171765.11537069088
1523,88678.50453387477
1524,92380.9712030807
1525,105357.03272165125
1526,96802.26840526781
1527,97135.63599666438
1528,103476.2154228729
1529,140463.4323005123
1530,192295.7411654484
1531,151815.70127009158
1532,89050.0938575808
1533,142541.38938553177
1534,104529.27049209956
1535,131945.68189400627
1536,88350.52480573503
1537,89942.27240417327
1538,148869.42608664106
1539,168158.4513090931
1540,128202.61477931152
1541,120033.73118752884
1542,112284.1286220911
1543,160853.6831721596
1544,63925.091444924125
1545,71389.6770847707
1546,99327.51925335452
1547,116096.68848712629
1548,90041.67581731353
1549,103434.93720335174
1550,103461.73725838032
1551,97565.8119455391
1552,117189.74374488948
1553,139395.3899775838
1554,99906.65532846442
1555,183334.25560684348
1556,124553.45354105227
1557,107798.1037091826
1558,127722.13292494445
1559,129632.30408792586
1560,123543.41501833216
1561,170320.95592428304
1562,128557.1535078601
1563,112105.348181232
1564,161291.91668397648
1565,143663.07555768613
1566,236709.41265406663
1567,97618.15719326818
1568,272303.9585678716
1569,146798.33180679142
1570,140236.29660424008
1571,122956.87033290514
1572,132823.50166975814
1573,251508.17595930258
1574,153884.77789638247
1575,253464.22445468055
1576,257017.8603194779
1577,208945.8654297705
1578,139327.8042487983
1579,152819.70236218604
1580,195123.3410506784
1581,155067.9300214209
1582,112829.96014637392
1583,269587.0497584253
1584,230279.93105684436
1585,167227.34426823066
1586,92003.16576023586
1587,111980.81710737206
1588,160397.33709450805
1589,114851.17255729355
1590,118102.4552919742
1591,118169.60266398132
1592,139999.27998075495
1593,108994.22702508107
1594,166891.388195278
1595,137854.40744403508
1596,196736.41408834414
1597,174503.79671546636
1598,208623.0754952518
1599,173437.61958172044
1600,170707.40258054965
1601,57491.52887920008
1602,111732.28049672167
1603,115808.6337841787
1604,277200.08281461475
1605,225585.00058638828
1606,152876.0601748442
1607,190268.57368732753
1608,253691.0924401134
1609,221968.99633951116
1610,177454.80849573432
1611,150151.00120008187
1612,204993.4975811875
1613,180909.48787075293
1614,133117.29931874666
1615,68233.3710126486
1616,68329.96554134256
1617,67842.06879005975
1618,111621.78780584829
